
  par_i=4, N_i=112, qfix=-19.07033741874799
  par_i=4, N_i=113, qfix=-18.968899453754652
  par_i=4, N_i=114, qfix=-18.867461488761307
  par_i=4, N_i=115, qfix=-18.76602352376797
  par_i=4, N_i=116, qfix=-18.66458555877463
  par_i=4, N_i=117, qfix=-18.563147593781288
  par_i=4, N_i=118, qfix=-18.461709628787947
  par_i=4, N_i=119, qfix=-18.360271663794606
  par_i=4, N_i=120, qfix=-18.25883369880127
  par_i=4, N_i=121, qfix=-18.157395733807924
  par_i=4, N_i=122, qfix=-18.055957768814586
  par_i=4, N_i=123, qfix=-17.954519803821245
  par_i=4, N_i=124, qfix=-17.853081838827904
  par_i=4, N_i=125, qfix=-17.751643873834567
  par_i=4, N_i=126, qfix=-17.650205908841222
  par_i=4, N_i=127, qfix=-17.548767943847885
  par_i=4, N_i=128, qfix=-17.447329978854544
  par_i=4, N_i=129, qfix=-17.345892013861203
  par_i=4, N_i=130, qfix=-17.244454048867865
  par_i=4, N_i=131, qfix=-17.14301608387452
  par_i=4, N_i=132, qfix=-17.041578118881183
  par_i=4, N_i=133, qfix=-16.940140153887842
  par_i=4, N_i=134, qfix=-16.8387021888945
  par_i=4, N_i=135, qfix=-16.737264223901164
  par_i=4, N_i=136, qfix=-16.63582625890782
  par_i=4, N_i=137, qfix=-16.534388293914482
  par_i=4, N_i=138, qfix=-16.43295032892114
  par_i=4, N_i=139, qfix=-16.3315123639278
  par_i=4, N_i=140, qfix=-16.23007439893446
  par_i=4, N_i=141, qfix=-16.128636433941118
  par_i=4, N_i=142, qfix=-16.02719846894778
  par_i=4, N_i=143, qfix=-15.925760503954438
  par_i=4, N_i=144, qfix=-15.824322538961098
  par_i=4, N_i=145, qfix=-15.722884573967757
  par_i=4, N_i=146, qfix=-15.621446608974416
  par_i=4, N_i=147, qfix=-15.520008643981077
  par_i=4, N_i=148, qfix=-15.418570678987736
  par_i=4, N_i=149, qfix=-15.317132713994397
  par_i=4, N_i=150, qfix=-15.215694749001056
  par_i=4, N_i=151, qfix=-15.114256784007715
  par_i=4, N_i=152, qfix=-15.012818819014376
  par_i=4, N_i=153, qfix=-14.911380854021035
  par_i=4, N_i=154, qfix=-14.809942889027694
  par_i=4, N_i=155, qfix=-14.708504924034354
  par_i=4, N_i=156, qfix=-14.607066959041013
  par_i=4, N_i=157, qfix=-14.505628994047672
  par_i=4, N_i=158, qfix=-14.404191029054331
  par_i=4, N_i=159, qfix=-14.302753064060994
  par_i=4, N_i=160, qfix=-14.201315099067653
  par_i=4, N_i=161, qfix=-14.099877134074312
  par_i=4, N_i=162, qfix=-13.99843916908097
  par_i=4, N_i=163, qfix=-13.89700120408763
